Číslo obce	Obec	Voliči	Vydané obálky	Platné hlasy	Občanská demokratická strana, Řád národa - Vlastenecká unie, CESTA ODPOVĚDNÉ SPOLEČNOSTI, Česká str.sociálně demokrat., Radostné Česko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Čech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných občanů, Blok proti islam.-Obran.domova, Občanská demokratická aliance, Česká pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Čsl. M.Sládka, Křesť.demokr.unie-Čs.str.lid., Česká strana národně sociální, REALISTÉ, SPORTOVCI, Dělnic.str.sociální spravedl., Svob.a př.dem.-T.Okamura (SPD), Strana Práv Občanů
545716	Přední Výtoň	218	143	141	24, 0, 1, 10, 0, 3, 19, 3, 0, 0, 0, 0, 16, 0, 8, 46, 0, 0, 2, 0, 0, 1, 0, 8, 0
545724	Přídolí	518	255	254	15, 0, 0, 16, 1, 6, 21, 0, 3, 5, 0, 0, 19, 0, 10, 81, 6, 0, 24, 0, 6, 0, 1, 40, 0
545732	Přísečná	166	120	120	26, 0, 0, 6, 0, 6, 4, 0, 0, 2, 0, 1, 12, 0, 4, 38, 0, 0, 3, 0, 2, 0, 0, 16, 0
545767	Rožmberk nad Vltavou	280	179	178	36, 0, 0, 12, 0, 6, 15, 1, 3, 3, 0, 0, 15, 0, 7, 47, 0, 1, 6, 0, 0, 0, 0, 25, 1
545775	Rožmitál na Šumavě	347	198	195	12, 0, 0, 11, 0, 8, 27, 2, 6, 3, 0, 0, 14, 0, 6, 66, 0, 0, 1, 1, 1, 0, 0, 37, 0
545805	Soběnov	291	208	208	11, 0, 2, 20, 3, 8, 8, 2, 0, 1, 0, 0, 9, 0, 13, 72, 0, 0, 41, 0, 0, 0, 1, 16, 1
536245	Srnín	253	196	196	40, 1, 0, 4, 0, 8, 9, 3, 9, 3, 0, 0, 19, 1, 16, 47, 0, 2, 7, 0, 0, 0, 1, 24, 2
551538	Střítež	300	183	182	27, 2, 0, 10, 0, 2, 16, 2, 2, 0, 2, 1, 15, 1, 4, 66, 0, 0, 14, 0, 4, 0, 0, 13, 1
545813	Světlík	191	105	102	5, 1, 0, 8, 0, 1, 14, 1, 5, 3, 0, 0, 2, 0, 4, 18, 0, 0, 14, 0, 0, 0, 8, 18, 0
545821	Velešín	3 142	1 875	1 865	205, 1, 6, 119, 2, 67, 146, 12, 15, 31, 6, 5, 180, 1, 103, 595, 6, 0, 143, 1, 18, 1, 1, 197, 4
545830	Větřní	3 097	1 464	1 458	128, 2, 2, 107, 3, 35, 180, 21, 5, 22, 2, 3, 115, 1, 44, 434, 2, 2, 39, 1, 11, 1, 69, 225, 4
536300	Věžovatá Pláně	115	89	88	6, 0, 0, 4, 1, 6, 5, 0, 0, 0, 0, 0, 11, 0, 8, 27, 0, 0, 15, 0, 0, 0, 0, 5, 0
545848	Vyšší Brod	1 806	951	947	119, 2, 1, 58, 2, 75, 86, 29, 10, 10, 0, 1, 74, 0, 67, 263, 1, 1, 29, 1, 9, 2, 2, 101, 4
545864	Zlatá Koruna	617	407	405	49, 0, 0, 18, 1, 25, 43, 6, 3, 3, 0, 2, 36, 0, 44, 97, 2, 0, 20, 0, 7, 1, 12, 35, 1
545872	Zubčice	331	209	206	19, 0, 0, 11, 0, 17, 5, 3, 1, 2, 0, 0, 24, 0, 14, 60, 1, 0, 33, 0, 1, 0, 0, 15, 0
536237	Zvíkov	74	45	45	2, 0, 0, 1, 1, 3, 0, 0, 2, 0, 0, 0, 0, 0, 1, 17, 0, 0, 12, 0, 0, 0, 0, 6, 0
